,rule,gp_effect_size,gp_num,gp_trt_effect,gp_p,gp_1_mean,gp_1_num,gp_0_mean,gn_trt_effect,gn_p,gn_1_mean,gn_1_num,gn_0_mean,trt_effect_1,p_1,trt_effect_0,p_0,gp_power,power_1
59,"(12, (1, 2), 'equal')",-0.26952389739563154,133,-0.37058198924731034,0.1464162300713182,7.130043010752689,93,7.500624999999999,-0.30978320895522415,0.28224246016162335,7.240641791044776,67,7.550425,-0.11059878029208647,0.5369986656601642,-0.04980000000000029,0.9616265663061374,0.6181647375197203,0.12558974615331492
60,"(13, (0,), 'equal')",-0.41543034355311553,120,-0.5569875000000009,0.02633458607766754,7.0627625,80,7.619750000000001,-0.1413500000000001,0.6722269112051479,7.28995,80,7.4313,-0.22718750000000032,0.17766347258322335,0.18845000000000045,0.4824030445609898,0.924247055395086,0.389289081734271
61,"(13, (1,), 'equal')",-0.1772618009937038,96,-0.23035937499999992,0.4794028182754394,7.284359375,64,7.51471875,-0.42837499999999995,0.06745168079754675,7.104354166666667,96,7.532729166666667,0.18000520833333322,0.31162974234587826,-0.018010416666666806,0.913971734128548,0.26646898144384457,0.0005078411744773371
62,"(13, (2,), 'equal')",0.1626011862648347,24,0.21468750000000014,0.5815410024314953,7.3123125,16,7.097625,-0.4118194444444443,0.03548527005659335,7.16125,144,7.573069444444444,0.1510625000000001,0.5522684604624215,-0.47544444444444434,0.3200644427322191,0.005183852088321917,0.0010732579221040441
63,"(13, (0, 1), 'equal')",-0.312011894481247,216,-0.4118194444444443,0.03548527005659335,7.16125,144,7.573069444444444,0.21468750000000014,0.5815410024314953,7.3123125,16,7.097625,-0.1510625000000001,0.5522684604624215,0.47544444444444434,0.3200644427322191,0.9350200573606906,0.1974329880186801
64,"(13, (1, 2), 'equal')",-0.10905833604424085,120,-0.1413500000000001,0.6722269112051479,7.28995,80,7.4313,-0.5569875000000009,0.02633458607766754,7.0627625,80,7.619750000000001,0.22718750000000032,0.17766347258322335,-0.18845000000000045,0.4824030445609898,0.1495765428148228,0.0001369410387497087
65,"(14, (0,), 'equal')",-0.24954249698317657,127,-0.3358939881910903,0.19998028800048961,7.1844320987654315,81,7.520326086956522,-0.3644828741623236,0.16651326340193928,7.168075949367089,79,7.5325588235294125,0.016356149398342623,0.903566356950008,-0.012232736572890701,0.8800896253846585,0.5514167554872027,0.01876484601401594
66,"(14, (1,), 'equal')",-0.30187032469591235,84,-0.3941844067796607,0.2884684063408529,7.19913559322034,59,7.59332,-0.33165958595859646,0.13350166514077438,7.163049504950495,101,7.494709090909091,0.03608608826984483,0.7209415220100677,0.09861090909090908,0.8680941705132609,0.5630696361551706,0.013051057449629623
67,"(14, (2,), 'equal')",-0.21958120814333432,29,-0.2873277777777785,0.3457785861511603,7.0764499999999995,20,7.363777777777778,-0.35539959758551376,0.09697709564850643,7.190628571428571,140,7.546028169014085,-0.1141785714285719,0.7354081866121327,-0.18225039123630715,0.9939255976485313,0.14540962133468743,0.13094078099615497
68,"(14, (0, 1), 'equal')",-0.26842128896395384,211,-0.35539959758551376,0.09697709564850643,7.190628571428571,140,7.546028169014085,-0.2873277777777785,0.3457785861511603,7.0764499999999995,20,7.363777777777778,0.1141785714285719,0.7354081866121327,0.18225039123630715,0.9939255976485313,0.8376428481072531,0.002570647678512226
69,"(14, (1, 2), 'equal')",-0.2810954949819388,113,-0.3644828741623236,0.16651326340193928,7.168075949367089,79,7.5325588235294125,-0.3358939881910903,0.19998028800048961,7.1844320987654315,81,7.520326086956522,-0.016356149398342623,0.903566356950008,0.012232736572890701,0.8800896253846585,0.6347511925216845,0.03288079030933421
70,"(15, (0,), 'equal')",-0.38590187388672775,102,-0.48488235294117743,0.075952056299888,7.207323529411765,68,7.692205882352942,-0.24885869565217345,0.36039698720511726,7.153467391304348,92,7.4023260869565215,0.05385613810741674,0.9038427466276171,0.2898797953964207,0.3705727756608277,0.873236898361326,0.00925822743153698
71,"(15, (1,), 'equal')",-0.08143626720469617,114,-0.1137121621621624,0.8330609149702926,7.1938378378378385,74,7.307550000000001,-0.5821860465116275,0.0178407481613819,7.1613139534883725,86,7.7435,0.03252388434946596,0.748982723103928,-0.43594999999999917,0.14622426003257888,0.09056291752853263,0.013954791149924834
72,"(15, (2,), 'equal')",-0.8713935637400348,24,-1.046666666666665,0.061948151413481145,6.987500000000001,18,8.034166666666666,-0.2839880091358955,0.17154789341512944,7.200295774647888,142,7.484283783783783,-0.21279577464788701,0.4877414159140824,0.5498828828828826,0.281155741850062,0.9445397717320279,0.3463177171305339
73,"(15, (0, 1), 'equal')",-0.21340371888522008,216,-0.2839880091358955,0.17154789341512944,7.200295774647888,142,7.484283783783783,-1.046666666666665,0.061948151413481145,6.987500000000001,18,8.034166666666666,0.21279577464788701,0.4877414159140824,-0.5498828828828826,0.281155741850062,0.6542587526117418,0.0002119662083678828
74,"(15, (1, 2), 'equal')",-0.1822837354317203,138,-0.24885869565217345,0.36039698720511726,7.153467391304348,92,7.4023260869565215,-0.48488235294117743,0.075952056299888,7.207323529411765,68,7.692205882352942,-0.05385613810741674,0.9038427466276171,-0.2898797953964207,0.3705727756608277,0.3477112275017744,0.05880616003592936
75,"(16, (0,), 'equal')",-0.26137562931517244,105,-0.32742000000000093,0.34547389924212335,7.386946666666666,75,7.714366666666667,-0.4216788235294109,0.07261520046867459,6.990541176470589,85,7.41222,0.3964054901960772,0.055516777771037154,0.30214666666666723,0.4742743507673295,0.5706615692375804,3.9983097093876e-07
76,"(16, (1,), 'equal')",-0.31819781845802303,112,-0.4141547017189078,0.08543098000608686,6.907217391304348,69,7.321372093023256,-0.38235521235521297,0.22168000343841143,7.380428571428571,91,7.762783783783784,-0.47321118012422314,0.027817439848081625,-0.44141169076052833,0.26504831120699934,0.734757028770697,0.9480242486904601
77,"(16, (2,), 'equal')",-0.39393181569249164,23,-0.6204107142857147,0.4623587300895926,7.349875,16,7.970285714285715,-0.3258003234398785,0.0895181525496509,7.157076388888888,144,7.482876712328767,0.19279861111111174,0.6552475161175797,0.4874090019569479,0.45889131307064057,0.22349974592968674,0.0003668100664047456
78,"(16, (0, 1), 'equal')",-0.2521379593919064,217,-0.3258003234398785,0.0895181525496509,7.157076388888888,144,7.482876712328767,-0.6204107142857147,0.4623587300895926,7.349875,16,7.970285714285715,-0.19279861111111174,0.6552475161175797,-0.4874090019569479,0.45889131307064057,0.819759892469922,0.2934603453335367
79,"(16, (1, 2), 'equal')",-0.3116338293920407,135,-0.4216788235294109,0.07261520046867459,6.990541176470589,85,7.41222,-0.32742000000000093,0.34547389924212335,7.386946666666666,75,7.714366666666667,-0.3964054901960772,0.055516777771037154,-0.30214666666666723,0.4742743507673295,0.7629818325702921,0.8450542988846512
80,"(17, (0,), 'equal')",-0.2069183844268793,133,-0.2768227272727266,0.24206615359173567,7.132977272727273,88,7.4098,-0.44493928571428576,0.12023280053681225,7.229375,72,7.674314285714286,-0.096397727272727,0.6970664632587023,-0.26451428571428615,0.44935625320135464,0.4300298132438356,0.10526692187191589
81,"(17, (1,), 'equal')",-0.34185679599553326,90,-0.4590661390616164,0.1433462907772721,7.2172786885245905,61,7.676344827586207,-0.28862329174093926,0.1812246892024899,7.151141414141414,99,7.439764705882353,0.06613727438317696,0.8016677226472926,0.23658012170385412,0.4742386418016362,0.6754799758276506,0.007236177241671751
82,"(17, (2,), 'equal')",-0.33450307653328365,17,-0.368045454545455,0.26892498051161984,7.296454545454545,11,7.6645,-0.3467668238708512,0.08066247001120119,7.167489932885905,149,7.514256756756756,0.1289646125686401,0.7770014094785028,0.1502432432432439,0.9054872066225028,0.2399376367027533,0.0018282416883502353
83,"(17, (0, 1), 'equal')",-0.2594904231040946,223,-0.3467668238708512,0.08066247001120119,7.167489932885905,149,7.514256756756756,-0.368045454545455,0.26892498051161984,7.296454545454545,11,7.6645,-0.1289646125686401,0.7770014094785028,-0.1502432432432439,0.9054872066225028,0.8263219593571871,0.15537976301987094
84,"(17, (1, 2), 'equal')",-0.3427863904925538,107,-0.44493928571428576,0.12023280053681225,7.229375,72,7.674314285714286,-0.2768227272727266,0.24206615359173567,7.132977272727273,88,7.4098,0.096397727272727,0.6970664632587023,0.26451428571428615,0.44935625320135464,0.7798637623188219,0.003816335639027955
85,"(18, (0,), 'equal')",-0.3306448490367226,122,-0.43291040100250555,0.0855486996837751,7.0967738095238095,84,7.529684210526315,-0.2574461152882206,0.3566408301641345,7.264315789473684,76,7.521761904761904,-0.16754197994987408,0.3616054721259221,0.007922305764410886,0.9500654327997377,0.7965511784192008,0.23384626084481697
86,"(18, (1,), 'equal')",-0.21590520270534974,95,-0.2822270973963352,0.35154062525452867,7.192508196721311,61,7.474735294117647,-0.3966611769872639,0.10236792191191418,7.166404040404041,99,7.563065217391305,0.026104156317270366,0.8536685057675952,-0.0883299232736583,0.8266625613552587,0.3631184844610559,0.015720101065971614
87,"(18, (2,), 'equal')",-0.11243424866172547,23,-0.1652916666666675,0.8464505968765906,7.556333333333333,15,7.721625,-0.36668783524904214,0.058940753917089396,7.137048275862069,145,7.503736111111111,0.41928505747126366,0.20923581604228614,0.21788888888888902,0.6418686418558821,0.055555854581953765,2.073488276726619e-07
88,"(18, (0, 1), 'equal')",-0.2814299300778239,217,-0.36668783524904214,0.058940753917089396,7.137048275862069,145,7.503736111111111,-0.1652916666666675,0.8464505968765906,7.556333333333333,15,7.721625,-0.41928505747126366,0.20923581604228614,-0.21788888888888902,0.6418686418558821,0.8891098238775669,0.8732905015808259
89,"(18, (1, 2), 'equal')",-0.193054881996607,118,-0.2574461152882206,0.3566408301641345,7.264315789473684,76,7.521761904761904,-0.43291040100250555,0.0855486996837751,7.0967738095238095,84,7.529684210526315,0.16754197994987408,0.3616054721259221,-0.007922305764410886,0.9500654327997377,0.34922732676870427,0.0007021606315074644
90,"(19, (0,), 'equal')",-0.30585024593848253,109,-0.40800761035007493,0.20665782645889197,7.17254794520548,73,7.580555555555555,-0.3009482758620692,0.1794088886970977,7.179551724137931,87,7.4805,-0.007003778932451077,0.8532361653927958,0.10005555555555468,0.9691423909674348,0.6677327031540691,0.02815449933771604
91,"(19, (1,), 'equal')",-0.2712899640419371,109,-0.3638363363363366,0.14020699219859006,7.111055555555556,72,7.474891891891892,-0.33930893234672244,0.25856330095853364,7.229784090909091,88,7.569093023255814,-0.11872853535353567,0.6250201390401311,-0.0942011313639215,0.9884514042477729,0.5603695599363452,0.13840758277398646
92,"(19, (2,), 'equal')",-0.0015271711335624338,22,-0.0018095238095234834,0.9157917320505895,7.508333333333334,15,7.510142857142857,-0.38498620689655105,0.051464383275825476,7.142013793103449,145,7.527,0.36631954022988467,0.25002088778235143,-0.016857142857142904,0.9660463401583239,0.025353291137754558,1.5464262316473709e-06
93,"(19, (0, 1), 'equal')",-0.289036707236557,218,-0.38498620689655105,0.051464383275825476,7.142013793103449,145,7.527,-0.0018095238095234834,0.9157917320505895,7.508333333333334,15,7.510142857142857,-0.36631954022988467,0.25002088778235143,0.016857142857142904,0.9660463401583239,0.8932455636949252,0.7717296817395871
94,"(19, (1, 2), 'equal')",-0.2291507922284482,131,-0.3009482758620692,0.1794088886970977,7.179551724137931,87,7.4805,-0.40800761035007493,0.20665782645889197,7.17254794520548,73,7.580555555555555,0.007003778932451077,0.8532361653927958,-0.10005555555555468,0.9691423909674348,0.5147729866900145,0.02214353839361164
95,"(20, (0,), 'equal')",-0.24978546413737296,104,-0.3434664959453695,0.22561206759015795,7.258957746478873,71,7.6024242424242425,-0.3610712407363126,0.16628459729699052,7.110460674157304,89,7.471531914893617,0.14849707232156906,0.6827627132958101,0.13089232753062596,0.7881094824241857,0.45721036967473444,0.0011346659982085978
96,"(20, (1,), 'equal')",-0.39190802368683125,105,-0.505567556952081,0.08062556223888626,7.023985074626866,67,7.529552631578947,-0.2357519201228877,0.34545447540160845,7.2861290322580645,93,7.521880952380952,-0.26214395763119835,0.3441874673931551,0.007671679197994941,0.907957941761107,0.8755516364591416,0.4926331458814148
