,rule,ratio,minus,trt_effect,nongroup_trt_effect,number,p_val,non_p_val,abs(ratio),abs(number-100),score
31,"[11, [1, 2], 0]",0.8642303998187594,0.12274306282583947,-0.7813110307414108,-0.9040540935672503,128.0,0.00016830459739463098,0.0019184303677070287,0.8642303998187594,28.0,0.0
32,"[12, [0], 0]",0.8259924718309554,0.16047101570330913,-0.7617363013698633,-0.9222073170731724,117.0,0.002468134423207245,9.708134653212645e-05,0.8259924718309554,17.0,0.0
33,"[12, [1], 0]",1.2920652982026153,-0.21965131693703022,-0.9717136752136746,-0.7520623582766444,101.0,0.0004604756395770793,0.0006236250107238885,1.2920652982026153,1.0,0.0
34,"[12, [0, 2], 0]",0.7739546920663332,0.21965131693703022,-0.7520623582766444,-0.9717136752136746,139.0,0.0006236250107238885,0.0004604756395770793,0.7739546920663332,39.0,0.0
35,"[12, [1, 2], 0]",1.2106647870328973,-0.16047101570330913,-0.9222073170731724,-0.7617363013698633,123.0,9.708134653212645e-05,0.002468134423207245,1.2106647870328973,23.0,0.0
36,"[13, [1], 0]",2.0286881399160737,-0.5893720747337774,-1.1623076923076923,-0.5729356175739149,116.0,9.191392031726616e-06,0.01009299280844945,2.0286881399160737,16.0,0.0
37,"[13, [1, 2], 0]",1.8769335804005,-0.5093721822682911,-1.0902282398452607,-0.5808560575769697,138.0,3.4922232951672595e-06,0.01905490839980075,1.8769335804005,38.0,0.0
38,"[14, [0], 0]",0.5897889679141881,0.4215453004731158,-0.6060850348927378,-1.0276303353658536,126.0,0.004386026254461224,0.0006024478095817755,0.5897889679141881,26.0,0.0
39,"[14, [1], 0]",1.5880675818373828,-0.3898300000000008,-1.0527300000000004,-0.6628999999999996,85.0,0.0027906377016669996,0.0007654086235888748,1.5880675818373828,15.0,0.0
40,"[14, [1, 2], 0]",1.6955217109884901,-0.4215453004731158,-1.0276303353658536,-0.6060850348927378,114.0,0.0006024478095817755,0.004386026254461224,1.6955217109884901,14.0,0.0
41,"[15, [1], 0]",2.278736896767034,-0.7073246018787298,-1.260467788461539,-0.5531431865828091,97.0,0.00011369010250723004,0.0021857716944147037,2.278736896767034,3.0,0.0
42,"[15, [1, 2], 0]",2.1748086801423283,-0.6162834724525261,-1.1408654600301658,-0.5245819875776396,124.0,9.666598245104026e-05,0.004070036931307581,2.1748086801423283,24.0,0.0
43,"[16, [0], 0]",0.979893949345594,0.017627528089887434,-0.8590999999999998,-0.8767275280898872,111.0,0.00032098981359032476,0.00029408165682878984,0.979893949345594,11.0,0.0
44,"[16, [1], 0]",0.9345791896235909,0.05709265734265845,-0.8156060606060604,-0.8726987179487189,110.0,0.0019251715872536687,0.0001342699470793157,0.9345791896235909,10.0,0.0
45,"[16, [0, 2], 0]",1.070000285800027,-0.05709265734265845,-0.8726987179487189,-0.8156060606060604,130.0,0.0001342699470793157,0.0019251715872536687,1.070000285800027,30.0,0.0
46,"[16, [1, 2], 0]",1.0205185986379786,-0.017627528089887434,-0.8767275280898872,-0.8590999999999998,129.0,0.00029408165682878984,0.00032098981359032476,1.0205185986379786,29.0,0.0
47,"[17, [0], 0]",0.5530834751137442,0.4892041164658618,-0.6054166666666676,-1.0946207831325294,117.0,0.004748329691310471,3.377328492790503e-05,0.5530834751137442,17.0,0.0
48,"[17, [1], 0]",1.6750962400790141,-0.44608749116052504,-1.1068636363636362,-0.6607761452031111,99.0,0.0003005180382448613,0.0009272969065986942,1.6750962400790141,1.0,0.0
49,"[17, [0, 2], 0]",0.5969806247985071,0.44608749116052504,-0.6607761452031111,-1.1068636363636362,141.0,0.0009272969065986942,0.0003005180382448613,0.5969806247985071,41.0,0.0
50,"[17, [1, 2], 0]",1.808045340342785,-0.4892041164658618,-1.0946207831325294,-0.6054166666666676,123.0,3.377328492790503e-05,0.004748329691310471,1.808045340342785,23.0,0.0
51,"[18, [0], 0]",1.3456843301620587,-0.24630929734786644,-0.9588359462486,-0.7125266489007336,123.0,0.00015428815773433065,0.0030802362671567608,1.3456843301620587,23.0,0.0
52,"[18, [1], 0]",0.8341648414050471,0.14867272727272596,-0.7478363636363641,-0.89650909090909,85.0,0.006579288072088531,5.200009822666467e-05,0.8341648414050471,15.0,0.0
53,"[18, [1, 2], 0]",0.7431163294288874,0.24630929734786644,-0.7125266489007336,-0.9588359462486,117.0,0.0030802362671567608,0.00015428815773433065,0.7431163294288874,17.0,0.0
